datetime,0x_social_volume_total,1inch_social_volume_total,aave_social_volume_total,alchemix_social_volume_total,ampleforth_social_volume_total,api3_social_volume_total,bancor_social_volume_total,band-protocol_social_volume_total,coin98_social_volume_total,cow-protocol_social_volume_total,crvusd_social_volume_total,dia-data_social_volume_total,dydx_social_volume_total,frax_social_volume_total,frax-share_social_volume_total,injective-protocol_social_volume_total,lido-dao_social_volume_total,liquity_social_volume_total,liquity-usd_social_volume_total,loopring_social_volume_total,magic-internet-money_social_volume_total,maker_social_volume_total,marlin_social_volume_total,melon_social_volume_total,olympus_social_volume_total,orbs_social_volume_total,orion-protocol_social_volume_total,pendle_social_volume_total,rocket-pool_social_volume_total,spell-token_social_volume_total,ssv-network_social_volume_total,sushi_social_volume_total,tellor_social_volume_total,uma_social_volume_total,uniswap_social_volume_total,yearn-finance_social_volume_total
2023-06-23 00:00:00+00:00,3.0,8.0,2.0,1.0,1.0,2.0,7.0,16.0,0.0,10.0,4.0,15.0,6.0,13.0,6.0,38.0,8.0,2.0,5.0,35.0,3.0,30.0,3.0,5.0,2.0,0.0,4.0,4.0,6.0,19.0,0.0,8.0,1.0,33.0,54.0,2.0
2023-06-24 00:00:00+00:00,0.0,2.0,5.0,0.0,11.0,0.0,4.0,12.0,1.0,4.0,2.0,13.0,8.0,15.0,4.0,17.0,8.0,3.0,2.0,44.0,3.0,31.0,2.0,1.0,1.0,1.0,0.0,3.0,12.0,7.0,0.0,6.0,0.0,13.0,51.0,1.0
2023-06-25 00:00:00+00:00,3.0,2.0,30.0,3.0,26.0,1.0,14.0,19.0,0.0,5.0,4.0,18.0,0.0,11.0,3.0,47.0,4.0,5.0,0.0,34.0,2.0,21.0,5.0,3.0,0.0,0.0,0.0,2.0,14.0,12.0,0.0,8.0,0.0,10.0,61.0,1.0
2023-06-26 00:00:00+00:00,1.0,6.0,8.0,2.0,13.0,2.0,5.0,9.0,2.0,5.0,26.0,27.0,9.0,21.0,11.0,16.0,3.0,2.0,2.0,38.0,10.0,37.0,2.0,0.0,10.0,2.0,0.0,4.0,18.0,10.0,0.0,6.0,2.0,28.0,41.0,0.0
2023-06-27 00:00:00+00:00,4.0,8.0,11.0,0.0,8.0,2.0,8.0,7.0,0.0,3.0,4.0,33.0,20.0,21.0,8.0,9.0,6.0,3.0,0.0,44.0,7.0,35.0,5.0,4.0,3.0,0.0,0.0,1.0,5.0,9.0,,5.0,1.0,27.0,46.0,2.0
2023-06-28 00:00:00+00:00,3.0,3.0,8.0,2.0,9.0,1.0,1.0,13.0,0.0,9.0,11.0,29.0,18.0,23.0,9.0,9.0,6.0,1.0,3.0,33.0,6.0,35.0,8.0,0.0,2.0,0.0,,5.0,10.0,9.0,1.0,13.0,0.0,32.0,66.0,2.0
2023-06-29 00:00:00+00:00,2.0,6.0,9.0,3.0,4.0,2.0,4.0,17.0,0.0,10.0,16.0,32.0,9.0,8.0,1.0,10.0,3.0,0.0,3.0,40.0,6.0,37.0,10.0,0.0,1.0,0.0,,5.0,5.0,7.0,1.0,1.0,0.0,24.0,68.0,3.0
2023-06-30 00:00:00+00:00,2.0,4.0,15.0,0.0,3.0,1.0,1.0,23.0,0.0,11.0,0.0,24.0,7.0,12.0,2.0,12.0,3.0,1.0,4.0,53.0,4.0,29.0,3.0,3.0,3.0,5.0,4.0,7.0,1.0,9.0,0.0,4.0,1.0,29.0,48.0,2.0
2023-07-01 00:00:00+00:00,0.0,4.0,7.0,0.0,2.0,0.0,2.0,6.0,,6.0,5.0,14.0,3.0,6.0,3.0,9.0,4.0,1.0,0.0,27.0,3.0,21.0,1.0,0.0,1.0,0.0,0.0,3.0,8.0,11.0,0.0,0.0,0.0,11.0,45.0,1.0
2023-07-02 00:00:00+00:00,0.0,1.0,5.0,0.0,3.0,0.0,10.0,4.0,,8.0,4.0,23.0,7.0,10.0,3.0,20.0,0.0,2.0,0.0,28.0,2.0,14.0,1.0,1.0,1.0,1.0,0.0,3.0,7.0,9.0,0.0,11.0,0.0,13.0,34.0,2.0
2023-07-03 00:00:00+00:00,0.0,0.0,9.0,0.0,7.0,1.0,10.0,8.0,,4.0,4.0,17.0,3.0,13.0,3.0,16.0,4.0,2.0,0.0,31.0,3.0,33.0,0.0,1.0,0.0,0.0,3.0,27.0,9.0,11.0,0.0,0.0,0.0,21.0,46.0,4.0
2023-07-04 00:00:00+00:00,2.0,3.0,11.0,2.0,9.0,1.0,4.0,13.0,,4.0,16.0,46.0,11.0,12.0,4.0,11.0,4.0,0.0,0.0,55.0,4.0,25.0,1.0,1.0,1.0,0.0,0.0,15.0,21.0,9.0,,2.0,4.0,18.0,40.0,5.0
2023-07-05 00:00:00+00:00,2.0,2.0,19.0,4.0,3.0,3.0,4.0,11.0,,4.0,18.0,24.0,7.0,9.0,2.0,13.0,3.0,1.0,,42.0,4.0,34.0,5.0,4.0,7.0,0.0,0.0,14.0,8.0,8.0,,1.0,1.0,39.0,45.0,2.0
2023-07-06 00:00:00+00:00,5.0,5.0,15.0,1.0,4.0,3.0,6.0,19.0,,10.0,7.0,25.0,5.0,31.0,31.0,24.0,3.0,3.0,2.0,25.0,9.0,25.0,14.0,2.0,1.0,0.0,0.0,9.0,3.0,18.0,1.0,5.0,1.0,23.0,43.0,5.0
2023-07-07 00:00:00+00:00,0.0,8.0,7.0,1.0,4.0,0.0,6.0,11.0,1.0,8.0,12.0,16.0,3.0,19.0,14.0,12.0,9.0,0.0,4.0,46.0,6.0,23.0,9.0,3.0,4.0,,0.0,1.0,4.0,17.0,1.0,2.0,0.0,23.0,37.0,7.0
2023-07-08 00:00:00+00:00,1.0,1.0,13.0,0.0,4.0,1.0,1.0,9.0,1.0,3.0,8.0,33.0,6.0,22.0,6.0,24.0,14.0,1.0,1.0,47.0,5.0,26.0,15.0,1.0,1.0,,,7.0,3.0,3.0,0.0,5.0,1.0,19.0,38.0,2.0
2023-07-09 00:00:00+00:00,1.0,14.0,2.0,0.0,1.0,2.0,5.0,13.0,0.0,3.0,13.0,14.0,4.0,3.0,7.0,30.0,13.0,0.0,0.0,79.0,2.0,21.0,16.0,0.0,0.0,,2.0,7.0,8.0,5.0,0.0,2.0,0.0,1.0,22.0,4.0
2023-07-10 00:00:00+00:00,2.0,1.0,17.0,1.0,4.0,0.0,5.0,13.0,0.0,2.0,15.0,16.0,4.0,19.0,2.0,27.0,8.0,2.0,4.0,52.0,0.0,21.0,7.0,2.0,0.0,,0.0,6.0,26.0,5.0,0.0,5.0,2.0,7.0,56.0,5.0
2023-07-11 00:00:00+00:00,1.0,2.0,24.0,1.0,2.0,3.0,12.0,13.0,0.0,1.0,12.0,18.0,6.0,15.0,3.0,33.0,7.0,3.0,0.0,40.0,11.0,26.0,13.0,5.0,1.0,,0.0,13.0,10.0,4.0,0.0,2.0,0.0,20.0,46.0,3.0
2023-07-12 00:00:00+00:00,2.0,12.0,30.0,0.0,8.0,2.0,1.0,17.0,2.0,6.0,6.0,51.0,3.0,11.0,3.0,32.0,5.0,25.0,2.0,40.0,3.0,26.0,8.0,5.0,1.0,,0.0,4.0,6.0,6.0,,5.0,0.0,34.0,45.0,2.0
2023-07-13 00:00:00+00:00,2.0,6.0,21.0,1.0,5.0,3.0,10.0,41.0,2.0,14.0,9.0,55.0,6.0,15.0,6.0,40.0,3.0,32.0,2.0,48.0,10.0,44.0,7.0,8.0,1.0,,1.0,7.0,5.0,15.0,,7.0,2.0,25.0,77.0,4.0
