datetime,0x_amount_in_top_holders,1inch_amount_in_top_holders,aave_amount_in_top_holders,alchemix_amount_in_top_holders,ampleforth_amount_in_top_holders,api3_amount_in_top_holders,bancor_amount_in_top_holders,band-protocol_amount_in_top_holders,coin98_amount_in_top_holders,cow-protocol_amount_in_top_holders,crvusd_amount_in_top_holders,dia-data_amount_in_top_holders,dydx_amount_in_top_holders,frax_amount_in_top_holders,frax-share_amount_in_top_holders,injective-protocol_amount_in_top_holders,lido-dao_amount_in_top_holders,liquity_amount_in_top_holders,liquity-usd_amount_in_top_holders,loopring_amount_in_top_holders,magic-internet-money_amount_in_top_holders,maker_amount_in_top_holders,marlin_amount_in_top_holders,melon_amount_in_top_holders,olympus_amount_in_top_holders,orbs_amount_in_top_holders,orion-protocol_amount_in_top_holders,pendle_amount_in_top_holders,rocket-pool_amount_in_top_holders,spell-token_amount_in_top_holders,ssv-network_amount_in_top_holders,sushi_amount_in_top_holders,tellor_amount_in_top_holders,uma_amount_in_top_holders,uniswap_amount_in_top_holders,yearn-finance_amount_in_top_holders
2023-06-23 00:00:00+00:00,488544258.3943957,762054215.9929268,9434912.147,1961251.1550866489,53176639.916319154,101666081.41516577,100464408.20894264,85081376.63936062,231462116.5551783,940454111.9980464,253649068.8540346,158299205.61555147,620131451.4072714,881558285.9264135,76635538.96268336,88585526.42905106,504536870.28220725,82590213.71660973,212668329.17792383,591335156.1249617,132253918.5318798,460596.74425293034,6783003570.243341,1116919.0988114765,26433985.19270474,9526274075.077858,113687220.28985322,138892333.22916263,31011229.43957912,99608765974.73058,7897861.885,126745650.33877778,3.402823669209383e+20,91189072.10371768,522728044.17511827,15487.568201221571
2023-06-24 00:00:00+00:00,488544258.3943957,764200074.5888656,9432345.432426209,1985187.529774564,53176639.916319154,101667032.52404524,100491971.32514474,85080516.43661317,230831972.14517832,940475450.9958514,254350120.2660655,158266272.02766055,620085993.4708622,880813418.1670334,76679536.63391346,88582920.77905105,504536870.28220725,82520566.82385497,216324252.41825616,607370787.8629342,132239896.52194004,463832.0822914512,6780957707.0,1108660.6131075963,26424911.160333037,9526210754.047934,113687220.28985322,138738876.8812075,31006581.87495883,98823108757.69002,7897436.017,126470425.2696586,3.402823669209383e+20,91441790.84417078,522727644.17511827,15532.396323567144
2023-06-25 00:00:00+00:00,485339417.7540544,765141054.9166968,9410936.680616513,1976995.02154164,53167297.47909585,101654923.90278904,100542581.29621533,85051086.4,230284749.90517837,940473556.8944992,450851363.95961535,158267348.1375979,620074721.5791322,878515996.5813694,76525728.67911798,88582181.92583267,504536870.28220725,83129009.29903664,216521684.97246924,606207058.9978983,132233035.21459194,463832.0822914512,6775484672.266969,1108761.0031075964,26416924.58929388,9531005387.131733,113687220.28985322,138113428.9060656,31096933.29342711,98818985511.57356,7896717.027,124133087.109201,3.402823669209383e+20,91443692.58907418,522726042.1072103,15470.499012980526
2023-06-26 00:00:00+00:00,485339417.7540544,765178371.5539962,9243368.875,1976792.8461390545,53224490.21,101642761.09430796,100778332.95934388,85055305.35891132,230052248.7734899,940515639.4443414,645683615.2148776,156288928.5442717,619904443.7666978,878216772.7110916,75985072.99894795,88687616.67013781,504536870.28220725,83165074.13791825,214754354.67969057,605906910.4442481,132196454.4869692,464022.6765442095,6777029613.677473,1108761.0031075964,26364594.974251986,9531510415.701242,113687220.28985322,138162618.98639414,31092325.151696853,98819305453.26012,7891526.396,130993284.5748276,3.402823669209383e+20,91471157.55349274,522726042.1072103,15505.504016985142
2023-06-27 00:00:00+00:00,485511824.9084117,765219667.5,9398386.431,1982202.858,53224490.21,101633248.74435134,100416472.95642143,85001327.05119483,230366412.32548988,940226173.5759302,646897632.9732375,156289041.42228726,621033199.0947926,875191854.1135526,76066885.91416672,88726559.36388615,504536870.28220725,83175387.16287321,214507625.66014728,604925309.9964535,132196538.21131831,464036.9723542095,6776003354.585918,1108857.5531175963,26457847.649867717,9546837999.257689,113686885.660834,135049391.19567984,31096522.017906293,98814861477.82085,7894596.481,131016326.5,3.402823669209383e+20,91471216.91,522724842.09523624,15260.923722167505
2023-06-28 00:00:00+00:00,475730797.6252979,746493362.9020587,9246403.885100745,1987746.0521154825,53224490.21,101522616.67530954,99291940.52513929,84981884.46366732,230475767.81500897,940217917.9,642274922.8093847,156562995.06607735,621031966.4495105,876650536.2,75273055.69284648,88741511.58792412,504536870.28220725,83382414.78822312,213167015.2549387,605535940.9045094,132176728.08242546,464036.9723542095,6711444326.701871,1108629.4631175965,26285453.92445674,9545076238.0,113686819.4778662,135955201.7642515,31109784.831327453,96530730315.18126,7895708.25,127433385.54865985,3.402823669209383e+20,91476010.70601548,522722842.09523624,15274.275444753835
2023-06-29 00:00:00+00:00,476178309.2077202,744405482.7717624,9229390.500850648,1982497.357765082,53301337.67,101631365.27411136,98270538.34954976,84982607.88262863,230953726.41700888,940403702.0678996,642418244.0146463,156562995.06607735,620991139.6136302,875806255.7264277,75363714.53632446,88778350.77602412,504536870.28220725,82130607.42116825,216062127.60269788,605541761.4,132105645.55903769,464048.5711239365,6712115672.0,1109986.3231175963,26293227.146335617,9559926974.564816,113689368.37784952,135912047.52942866,31110255.033234064,96533858275.20335,7895631.394327749,127352196.23153344,3.402823669209383e+20,91477596.5,522700253.5690473,15260.9425073167
2023-06-30 00:00:00+00:00,476178309.2077202,744423726.1674628,9208850.322062708,1980766.198872275,53341070.93295796,101632820.18041936,98214657.78481524,84982565.30988711,230520385.29700893,940288057.6,643326663.4924419,156562995.06607735,620983404.9664229,878642911.0686157,75298189.1,88821534.56942968,504203392.03816825,82937601.80197553,213980469.44807705,604683110.0611963,132100981.6034574,464024.48641838087,6708806507.515863,1107098.7000075963,26329171.03372611,9562804794.987734,113689358.24404795,135718658.84914827,31115142.308423895,96534857377.81113,7891133.738611749,127220166.06799912,3.402823669209383e+20,91499775.06774062,522700253.5690473,15265.547871884402
2023-07-01 00:00:00+00:00,476178309.2077202,744443021.7581877,9198317.613661757,1980232.727236168,53338142.09,101631113.68637516,98314602.21683183,84979492.33,231409214.80000895,940272026.1484742,643318419.3836129,156562995.06607735,620977718.7223676,878911246.9105906,75245746.92805283,88797782.94004893,504203392.03816825,83451828.92389083,211921425.9341083,603425534.2289903,132456893.97994085,464018.6005332064,6708293875.188314,1112452.6170075962,26334470.42482928,9565052945.232258,113587714.85858636,135770928.9641763,31109190.560317535,96544157349.78986,7879155.275,127263853.83422914,3.402823669209383e+20,91509902.58960477,522698253.5381433,15291.433238046784
2023-07-02 00:00:00+00:00,476178309.2077202,744459519.7572294,9166783.032852843,1979794.8121791745,53338142.09,101625691.08356458,98248494.5414974,84962779.63667254,231409214.80000895,940295922.8383572,645313608.0902259,156562995.06607735,620970825.4620022,878645873.8,75271627.48218706,88804007.77004893,504203392.03816825,83537332.41992249,212472415.06250116,602752639.1905859,132453455.19241098,464018.6005332064,6707411968.828435,1112499.1989724464,26337617.19881564,9565844518.0,113576299.05889691,135436138.1205515,31225681.328022003,96539247297.78702,7876655.275,127311497.8434074,3.402823669209383e+20,91510061.41039889,522698253.5381433,15262.360047339587
2023-07-03 00:00:00+00:00,476169603.79201186,744978733.7486495,9180011.420831352,1976006.027683227,53338142.09,101626873.02766976,98015644.45,84949277.60137606,231098103.69000897,940430281.6521934,644643268.0680673,156562995.06607735,622145727.9014807,875393354.1272563,75020468.91743504,88811095.52123645,504203392.03816825,83677297.56312333,214548328.9504245,604724353.7508377,132327347.61523928,462629.0549,6709145358.872953,1112198.7406356963,26337346.153861713,9541094748.219538,113573465.6484214,138778012.9926879,31230879.459401272,96662376522.26822,7868640.821,127432495.63637412,3.402823669209383e+20,91479803.44712248,522697053.5381433,15327.935137916227
2023-07-04 00:00:00+00:00,476167016.97201186,748587901.8808736,9191960.417630728,1990471.06828878,53497057.14265714,101607157.76651698,97521909.44167691,84968314.19207463,231470160.9380089,940566409.0496844,646991189.4568199,156562995.06607735,621979518.5112183,875647105.7716742,75243236.08991063,88821010.62115055,504203392.03816825,83688832.68048786,214881258.40337193,603898866.0538871,132338497.79505531,462634.6771596288,6706834358.924243,1112825.0591127863,26415104.695818856,9515248988.0,113580465.6484214,138867550.6655652,31280927.51946302,96669234568.49994,7872876.469,127455924.0472855,3.4028236692093836e+20,91437471.51106513,522696653.5381433,15339.602367971926
2023-07-05 00:00:00+00:00,478419855.4893742,750571041.8956794,9132952.908650864,1941972.8304425955,53497057.14265714,101607629.8824824,97637346.21194628,85011714.76834837,232266321.45900893,940567286.71756,642617328.0194601,156562995.06607735,621975093.9103314,875784140.4,75345308.20455264,88878671.86064109,504203392.03816825,83607592.12699082,214837515.2819728,606092016.2577109,132342772.42266522,465823.2172378494,6707604385.716974,1111305.1273838163,26402187.52423589,9514779355.814344,113445111.3364214,139043509.02866846,31355089.10520383,95880620274.92786,7873100.4,126630802.24345373,3.4028236692093836e+20,91440834.62968308,522695453.5381433,15092.666560101074
2023-07-06 00:00:00+00:00,478419516.62959176,750574576.9934781,9060003.573514046,1950739.9259030265,53497057.14265714,101651674.1020559,97377993.88706324,85095408.1,232071877.01900893,940563600.4673662,637941284.7453254,156562995.06607735,621962354.1703802,875227200.9488162,75336333.33440712,89298133.38396172,504203392.03816825,83460804.41,221846419.15581673,606066977.3309534,131855796.41837712,469074.6274944297,6708307594.230563,1112351.4183838165,26444281.771500863,9527937191.0,113301264.0739134,138105619.86994863,31436806.75284231,95925140595.09236,7875465.342,126651556.9239693,3.4028236692093836e+20,91573465.4422112,522694653.5381433,15089.088685657973
2023-07-07 00:00:00+00:00,478419016.62959176,750541658.9232831,9027215.672955018,2003001.2142363111,53497057.14265714,101647396.48527756,97431990.88,85090151.83,232071877.01900893,940550046.2,639018836.7607074,156562995.06607735,623216752.5566995,876711938.3080941,75371245.38,89298151.11226171,504203392.03816825,83579913.45984568,222254923.17583355,606243478.2718232,151284851.72522974,469074.6635448297,6705588473.480825,1112404.3681445664,26481779.282724872,9518010999.523956,113302340.79826696,137941999.6127901,31580633.521992516,95923845497.83722,7877842.998,126655326.7015245,3.4028236692093836e+20,91573465.4422112,522693053.5381433,15039.568146002048
2023-07-08 00:00:00+00:00,480657074.5,751501534.4843813,9029334.566662554,1999419.244383055,53497057.14265714,101636663.82659969,97186301.9339592,85116119.05439392,232005508.1010089,940529726.6177016,638202595.9,156562995.06607735,623216058.1215847,876922946.1500701,76182422.42589189,89303738.49226171,504203392.03816825,83541292.57,222568986.1912989,606242640.0097969,151248373.2,469084.6061020831,6701786974.731734,1112404.3681445664,26485689.98708615,9518100132.887877,113302338.95936902,138022636.62181526,31594547.063335285,95970521105.31824,7835989.648,126784832.37748894,3.4028236692093836e+20,91594817.91151702,523325860.4171433,15147.376387609158
2023-07-09 00:00:00+00:00,480657074.5,751498849.2782582,9034925.765793582,1999655.2859788472,53497057.14265714,101600648.0936259,96896370.25,85115688.68011677,232005508.1010089,940515510.3472102,639243954.2850109,156562995.06607735,623210601.4866827,879067890.1973426,76079435.24312896,89280018.89236172,504203392.03816825,83575863.68496692,222893452.09596995,606189407.2154157,151279576.82181048,469113.8203662224,6514103978.592358,1112809.4073399263,26492545.229072697,9518330594.592367,113302269.25560804,138670236.49210316,31612613.581058446,96136958486.446,7834833.19,126911917.26401228,3.4028236692093836e+20,91622067.2275468,523325460.4171433,15153.844452643032
2023-07-10 00:00:00+00:00,480661693.2543734,750914464.4292667,8918941.803795276,2003945.8383953765,53497057.14265714,101458186.9818811,96995037.12429333,85035021.53022496,231888841.4310089,940654605.7802346,640196143.8692918,156562995.06607735,623064185.5,880193367.9975731,76090835.43277566,89290481.02966172,504207331.0800531,82561004.74613589,225414391.49689195,609281079.4499443,151165956.51630986,466669.17140116426,6526397716.0,1107073.0443468362,26484945.888033044,9531756282.0652,113323260.54765896,138595720.94443616,31603803.899779268,96216787370.82748,7836327.883,127003843.24039042,3.4028236692093836e+20,91628709.66,523325060.4171433,15164.334123857496
