datetime,0x_whale_transaction_count_100k_usd_to_inf,1inch_whale_transaction_count_100k_usd_to_inf,aave_whale_transaction_count_100k_usd_to_inf,alchemix_whale_transaction_count_100k_usd_to_inf,ampleforth_whale_transaction_count_100k_usd_to_inf,api3_whale_transaction_count_100k_usd_to_inf,bancor_whale_transaction_count_100k_usd_to_inf,band-protocol_whale_transaction_count_100k_usd_to_inf,coin98_whale_transaction_count_100k_usd_to_inf,cow-protocol_whale_transaction_count_100k_usd_to_inf,crvusd_whale_transaction_count_100k_usd_to_inf,dia-data_whale_transaction_count_100k_usd_to_inf,dydx_whale_transaction_count_100k_usd_to_inf,frax_whale_transaction_count_100k_usd_to_inf,frax-share_whale_transaction_count_100k_usd_to_inf,injective-protocol_whale_transaction_count_100k_usd_to_inf,lido-dao_whale_transaction_count_100k_usd_to_inf,liquity_whale_transaction_count_100k_usd_to_inf,liquity-usd_whale_transaction_count_100k_usd_to_inf,loopring_whale_transaction_count_100k_usd_to_inf,magic-internet-money_whale_transaction_count_100k_usd_to_inf,maker_whale_transaction_count_100k_usd_to_inf,marlin_whale_transaction_count_100k_usd_to_inf,melon_whale_transaction_count_100k_usd_to_inf,olympus_whale_transaction_count_100k_usd_to_inf,orbs_whale_transaction_count_100k_usd_to_inf,orion-protocol_whale_transaction_count_100k_usd_to_inf,pendle_whale_transaction_count_100k_usd_to_inf,rocket-pool_whale_transaction_count_100k_usd_to_inf,spell-token_whale_transaction_count_100k_usd_to_inf,ssv-network_whale_transaction_count_100k_usd_to_inf,sushi_whale_transaction_count_100k_usd_to_inf,tellor_whale_transaction_count_100k_usd_to_inf,uma_whale_transaction_count_100k_usd_to_inf,uniswap_whale_transaction_count_100k_usd_to_inf,yearn-finance_whale_transaction_count_100k_usd_to_inf
2023-06-23 00:00:00+00:00,0.0,3.0,22.0,0.0,0.0,3.0,3.0,0.0,13.0,0.0,0.0,0.0,11.0,21.0,15.0,2.0,16.0,4.0,16.0,2.0,3.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,18.0,2.0,1.0,3.0,0.0,0.0,36.0,3.0
2023-06-24 00:00:00+00:00,0.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,5.0,0.0,22.0,1.0,37.0,13.0,13.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,4.0,0.0,3.0,19.0,0.0
2023-06-25 00:00:00+00:00,3.0,4.0,321.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,6.0,0.0,21.0,1.0,19.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,10.0,0.0,1.0,3.0,0.0,2.0,99.0,6.0
2023-06-26 00:00:00+00:00,1.0,7.0,143.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,56.0,24.0,5.0,17.0,1.0,47.0,2.0,0.0,8.0,0.0,0.0,18.0,0.0,0.0,1.0,11.0,0.0,3.0,6.0,0.0,1.0,65.0,1.0
2023-06-27 00:00:00+00:00,0.0,2.0,52.0,0.0,0.0,0.0,1.0,,0.0,,,0.0,12.0,38.0,10.0,1.0,58.0,0.0,31.0,0.0,0.0,31.0,,0.0,7.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,46.0,5.0
2023-06-28 00:00:00+00:00,5.0,5.0,40.0,0.0,2.0,2.0,1.0,,0.0,,34.0,2.0,2.0,27.0,5.0,0.0,26.0,4.0,60.0,5.0,3.0,7.0,1.0,0.0,21.0,0.0,0.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,68.0,5.0
2023-06-29 00:00:00+00:00,2.0,6.0,42.0,,0.0,1.0,1.0,,3.0,,99.0,0.0,2.0,35.0,3.0,2.0,42.0,3.0,41.0,4.0,2.0,12.0,0.0,,3.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,29.0,4.0
2023-06-30 00:00:00+00:00,1.0,2.0,117.0,,0.0,1.0,0.0,,0.0,,59.0,0.0,12.0,46.0,17.0,1.0,64.0,14.0,55.0,3.0,3.0,39.0,0.0,,8.0,0.0,0.0,8.0,10.0,1.0,1.0,7.0,0.0,0.0,47.0,3.0
2023-07-01 00:00:00+00:00,0.0,0.0,26.0,,0.0,0.0,0.0,,0.0,,70.0,0.0,4.0,30.0,0.0,0.0,23.0,4.0,41.0,0.0,3.0,8.0,0.0,,5.0,0.0,0.0,1.0,24.0,0.0,0.0,2.0,0.0,1.0,26.0,3.0
2023-07-02 00:00:00+00:00,0.0,1.0,38.0,,0.0,0.0,0.0,,0.0,,78.0,0.0,0.0,16.0,5.0,1.0,28.0,1.0,26.0,1.0,0.0,5.0,0.0,,0.0,0.0,,1.0,15.0,1.0,4.0,3.0,,1.0,21.0,6.0
2023-07-03 00:00:00+00:00,1.0,6.0,92.0,,4.0,1.0,0.0,,0.0,,82.0,,40.0,41.0,23.0,1.0,54.0,0.0,17.0,2.0,8.0,38.0,,,7.0,1.0,,63.0,6.0,6.0,4.0,1.0,,1.0,54.0,9.0
2023-07-04 00:00:00+00:00,0.0,10.0,91.0,8.0,0.0,0.0,,,,,135.0,,24.0,34.0,8.0,1.0,23.0,1.0,14.0,3.0,9.0,20.0,,,14.0,2.0,,10.0,14.0,1.0,6.0,0.0,1.0,0.0,48.0,5.0
2023-07-05 00:00:00+00:00,10.0,14.0,104.0,3.0,2.0,1.0,3.0,5.0,,,126.0,,11.0,21.0,9.0,1.0,27.0,6.0,21.0,4.0,5.0,28.0,,,0.0,0.0,,6.0,24.0,1.0,0.0,5.0,0.0,1.0,51.0,2.0
2023-07-06 00:00:00+00:00,3.0,0.0,66.0,0.0,2.0,1.0,0.0,2.0,,,137.0,,6.0,39.0,29.0,5.0,30.0,2.0,78.0,8.0,14.0,25.0,1.0,1.0,10.0,1.0,2.0,12.0,11.0,1.0,0.0,4.0,0.0,1.0,25.0,5.0
2023-07-07 00:00:00+00:00,0.0,4.0,45.0,3.0,2.0,0.0,0.0,1.0,,1.0,96.0,,12.0,33.0,10.0,0.0,18.0,7.0,11.0,4.0,28.0,11.0,0.0,0.0,6.0,1.0,0.0,1.0,10.0,0.0,1.0,2.0,0.0,0.0,40.0,2.0
