datetime,chainlink_amount_in_top_holders,uniswap_amount_in_top_holders,dai_amount_in_top_holders,aave_amount_in_top_holders,ondo-finance_amount_in_top_holders,ethena_amount_in_top_holders,maker_amount_in_top_holders,injective-protocol_amount_in_top_holders,lido-dao_amount_in_top_holders,raydium_amount_in_top_holders,dexe_amount_in_top_holders,pendle_amount_in_top_holders,telcoin_amount_in_top_holders,olympus_amount_in_top_holders,1inch_amount_in_top_holders,frax_amount_in_top_holders,convex-finance_amount_in_top_holders,0x_amount_in_top_holders,frax-share_amount_in_top_holders,stargate-finance_amount_in_top_holders,yearn-finance_amount_in_top_holders,crvusd_amount_in_top_holders,sushi_amount_in_top_holders,cow-protocol_amount_in_top_holders,loopring_amount_in_top_holders,lcx_amount_in_top_holders,band-protocol_amount_in_top_holders,clearpool_amount_in_top_holders,usual_amount_in_top_holders,rocket-pool_amount_in_top_holders,uma_amount_in_top_holders,api3_amount_in_top_holders,compound-ether_amount_in_top_holders,spell-token_amount_in_top_holders,orbs_amount_in_top_holders,tellor_amount_in_top_holders,marlin_amount_in_top_holders,liquity_amount_in_top_holders,pinlink_amount_in_top_holders,numeraire_amount_in_top_holders,ssv-network_amount_in_top_holders,bancor_amount_in_top_holders,balancer_amount_in_top_holders,oraichain-token_amount_in_top_holders,coin98_amount_in_top_holders,dia-data_amount_in_top_holders,tokenfi_amount_in_top_holders,dodo_amount_in_top_holders,magic-internet-money_amount_in_top_holders,dydx_amount_in_top_holders,kujira_amount_in_top_holders,keep-network_amount_in_top_holders,smardex_amount_in_top_holders,messier_amount_in_top_holders,hashflow_amount_in_top_holders,renzo_amount_in_top_holders,liquity-usd_amount_in_top_holders,ampleforth_amount_in_top_holders,wrapped-nxm_amount_in_top_holders,whiteheart_amount_in_top_holders,hegic_amount_in_top_holders,insure_amount_in_top_holders,compound-usd-coin_amount_in_top_holders,paraswap_amount_in_top_holders,orderly-network_amount_in_top_holders,bella-protocol_amount_in_top_holders,degate_amount_in_top_holders,stafi_amount_in_top_holders,unizen_amount_in_top_holders,melon_amount_in_top_holders,chainflip_amount_in_top_holders,seth_amount_in_top_holders,alchemix_amount_in_top_holders,perpetual-protocol_amount_in_top_holders,harvest-finance_amount_in_top_holders,badger-dao_amount_in_top_holders,stake-dao_amount_in_top_holders,polkastarter_amount_in_top_holders,synfutures_amount_in_top_holders,lever_amount_in_top_holders,quickswap_amount_in_top_holders,ramp_amount_in_top_holders,inverse-finance_amount_in_top_holders,tokemak_amount_in_top_holders,ribbon-finance_amount_in_top_holders,cryptex-finance_amount_in_top_holders,kryll_amount_in_top_holders,orion-protocol_amount_in_top_holders,aura-finance_amount_in_top_holders,airswap_amount_in_top_holders,trustswap_amount_in_top_holders,morpho_amount_in_top_holders
2023-06-23 00:00:00+00:00,332000000.00000006,522728044.17511827,1608843.251247249,9434912.147,9717037264,,460596.74425293034,88585526.42905106,504536870.28220725,10882237.07,35723377.62554139,138892333.22916263,80086652441,26433985.19270474,762054215.9929268,881558285.9264135,86755773.88805546,488544258.3943957,76635538.96268336,807160036.8444862,15487.568201221571,253649068.8540346,126745650.33877778,940454111.9980464,591335156.1249617,253415827.13919663,85081376.63936062,830647223.2176055,,31011229.43957912,91189072.10371768,101666081.41516577,7664023.593,99608765974.73058,9526274075.077858,3.402823669209383e+20,6783003570.243341,82590213.71660973,,9961693.833543988,7897861.885,100464408.20894264,44334694.41773932,84940272.44664636,231462116.5551783,158299205.61555147,,878145283.7545005,132253918.5318798,620131451.4072714,1.1579208923731621e+71,908899947.7392006,9262934014,,944557100.9602374,,212668329.17792383,53176639.916319154,1212115.3145484943,7841.153028,2779585300.9178686,85648795360,7768634811.648342,1438865607.482209,,93200592.38207856,926123259.9,31050303.41070393,887186680.4,1116919.0988114765,,17022.120253925932,1961251.1550866489,117630226.2105472,456949.43379852385,14419651.31980952,47982939.73694074,65394302.174794674,,33769540704.66341,976187.1571699752,978396429.3301222,268434.8125256313,95641101.78599556,770369457.0172998,7736672.957392221,22720639.244147263,113687220.28985322,55117536.732074946,437005583.8,66881124.88,
2023-06-24 00:00:00+00:00,332000000.00000006,522727644.17511827,1608843.251247249,9432345.432426209,9716905760.677235,,463832.08229145117,88582920.77905105,504536870.28220725,10882237.07,35719415.62853621,138738876.8812075,80086652441,26424911.160333037,764200074.5888656,880813418.1670334,86794507.06884745,488544258.3943957,76679536.63391346,807509142.1,15532.396323567144,254350120.26606554,126470425.2696586,940475450.9958514,607370787.8629342,253224797.9797683,85080516.43661317,830683893.2176055,,31006581.87495883,91441790.84417078,101667032.52404523,7665398.315927549,98823108757.69002,9526210754.047934,3.402823669209383e+20,6780957707,82520566.82385497,,9961693.833543988,7897436.017,100491971.32514474,44319993.41957578,84940786.88687506,230831972.14517832,158266272.02766055,,878142332.4103988,132239896.52194005,620085993.4708622,1.157920892373162e+71,908887388.4264269,9260662786.233896,,944650212.4173756,,216324252.41825616,53176639.916319154,1211391.5981090069,7841.153028313049,2779633706.0507736,85648740249.72113,7768634811.648342,1438923061.2468088,,93214527.75207856,926123259.9,31071861.84844283,887186680.4,1108660.6131075965,,16885.823334056415,1985187.5297745639,117665060.77906816,458153.60345496616,14422577.842059083,47963113.59079091,65443071.719605595,,33769647885.532753,976589.7439854153,978401131.9570348,268409.6204327583,95641007.18659684,770368433.2491182,7736672.957392221,22720639.244147263,113687220.28985322,55149063.90081661,437111476.57610005,66906500.693466716,
2023-06-25 00:00:00+00:00,332000000.00000006,522726042.1072103,1608632.8494392908,9410936.680616511,9716878487.949965,,463832.08229145117,88582181.92583267,504536870.28220725,10882237.07,35716105.269731365,138113428.9060656,80086652441,26416924.58929388,765141054.9166968,878515996.5813694,87308009.82,485339417.75405437,76525728.67911798,805416907.4476057,15470.499012980526,450851363.95961535,124133087.10920101,940473556.8944991,606207058.9978983,253201189.7,85051086.4,830685866.0355135,,31096933.29342711,91443692.58907418,101654923.90278903,7666011.976,98818985511.57356,9531005387.131733,3.402823669209383e+20,6775484672.266969,83129009.29903664,,9961645.519550778,7896717.027,100542581.29621531,44242907.57173513,84939281.49799585,230284749.90517837,158267348.1375979,,878110173.9575934,132233035.21459194,620074721.5791322,1.157920892373162e+71,907954843.8,9262852897.974293,,944949307.7523167,,216521684.97246924,53167297.47909585,1212970.186363615,7841.153028313049,2779629715.709852,85648759334.75896,7768634811.648342,1438860151.7026865,,93212150.74682128,926123259.9,31004973.13403491,887186680.4,1108761.0031075964,,16885.82333405642,1976995.0215416402,117664851.16947213,458119.1459260147,14399337.85406051,47989442.64460387,65468838.73352074,,33771284286.313828,976949.8777536254,978409631.9355568,268270.8916270171,95642153.55087343,769535099.9157852,7736479.121,22720639.244147263,113687220.28985322,55159874.84626914,437076197.89300007,66914829.17,
2023-06-26 00:00:00+00:00,332000000.00000006,522726042.1072103,1608632.8494392908,9243368.875,9716762882.677235,,464022.6765442095,88687616.67013781,504536870.28220725,10882237.07,35720050.95406514,138162618.98639414,80086652441,26364594.974251986,765178371.5539962,878216772.7110916,87487740.88630748,485339417.75405437,75985072.99894795,805734077.0869269,15505.504016985142,645683615.2148776,130993284.57482761,940515639.4443414,605906910.4442481,253967261.86148545,85055305.35891132,830685866.0321091,,31092325.151696853,91471157.55349274,101642761.09430797,7668588.956098629,98819305453.26012,9531510415.701242,3.402823669209383e+20,6777029613.677473,83165074.13791825,,9961515.644419698,7891526.396,100778332.95934387,44304254.73951796,84940664.61514388,230052248.7734899,156288928.5442717,,878028992.7409965,132196454.4869692,619904443.7666978,1.157920892373162e+71,910360958.6569393,9266145266.652575,,945047998.9300132,,214754354.67969054,53224490.21,1213049.7370738706,7841.153028313049,2779629715.709852,85648737326.13254,7192036063,1420327379.4360726,,93223826.27682129,926123259.9,31013482.606105655,886186680.4,1108761.0031075964,,16853.81309116494,1976792.8461390543,117447057.20816678,458232.7434668206,14405105.500536779,48036497.66530016,66586267.83512054,,33860716208.087006,974671.4719713012,978378628.4112093,267366.5854843471,95430006.16,769534850.6,7736377.863612479,22720639.244147263,113687220.28985322,55833649.735431045,436662132.2627999,66917271.23859319,
2023-06-27 00:00:00+00:00,332000000.00000006,522724842.09523624,1608632.8494392908,9398386.431,9716748337,,464036.9723542095,88726559.36388615,504536870.28220725,10882237.07,35729980.17172917,135049391.19567984,80086652441,26457847.649867717,765219667.5,875191854.1135526,87551538.31,485511824.9084117,76066885.91416672,805467725.3141778,15260.923722167505,646897632.9732375,131016326.5,940226173.5759302,604925309.9964535,254407613.6036953,85001327.05119483,830685866.0321091,,31096522.017906293,91471216.91,101633248.74435134,7718967.701153799,98814861477.82083,9546837999.257687,3.402823669209383e+20,6776003354.585918,83175387.16287321,,9961285.642769879,7894596.481,100416472.95642143,44360820.07,84936011.07671176,230366412.32548988,156289041.42228726,,879431096.6,132196538.21131833,621033199.0947926,1.157920892373162e+71,909734960.2975688,9263256570.562157,,944506940.8690873,,214507625.66014728,53224490.21,1213510.3313639578,7847.607728313051,2779177498.7028522,85648764139,7194284421.9389305,1417979876.0768347,,93223826.27682129,926123259.9,31160411.16190099,885708680.4,1108857.5531175963,,16853.831441260652,1982202.858,117445130.4222073,457826.1967101625,14399964.016162775,48112608.29395097,66549988.98204268,,33859246070.206657,975808.6022462153,978425190.7794236,267343.4521547605,95580939.68692414,769534850.6,7736364.154,22720639.244147263,113686885.66083401,55872883.14293927,436418963.25879997,66975608.4,
2023-06-28 00:00:00+00:00,302000000.00000006,522722842.09523624,1608632.8494392908,9246403.885100745,9716662155.404507,,464036.9723542095,88741511.58792412,504536870.28220725,10882237.07,35719169.24158111,135955201.7642515,80086652441,26285453.92445674,746493362.9020587,876650536.2,87021991.83106068,475730797.62529796,75273055.69284648,806706483.0740505,15274.275444753837,642274922.8093847,127433385.54865983,940217917.9,605535940.9045094,254546513.16583326,84981884.46366732,827117088.1433685,,31109784.831327453,91476010.70601548,101522616.67530954,7702831.693531119,96530730315.18126,9545076238,3.402823669209383e+20,6711444326.701871,83382414.78822312,,9961201.729944928,7895708.25,99291940.52513927,43904441.4,84923775.66917534,230475767.81500894,156562995.06607735,,879247294.5966725,132176728.08242546,621031966.4495105,1.157920892373162e+71,909210917.2691717,9199261844.602842,,941238617.3,,213167015.2549387,53224490.21,1272360.894,7847.607728313051,2779177498.7028522,85648675430.12036,7194284421.9389305,1418011560.779063,,93238311.68682128,926123259.9,30972408.685876913,877708680.4,1108629.4631175965,,16854.042472478388,1987746.0521154823,116046138.83030754,457851.6045924003,14453337.48898956,48152234.55909117,64848766.70482598,,33858293940.748455,975432.6385627653,978427282.3,268013.4159482479,95576244.88723032,769696261.3456309,7736364.154,22720639.244147263,113686819.4778662,55213388.047418535,432652559.4,67027840.229834214,
2023-06-29 00:00:00+00:00,300800000,522700253.5690473,1608632.8494392894,9229390.500850648,9716653075,,464048.57112393645,88778350.77602412,504536870.28220725,10882237.07,35718962.51108483,135912047.52942866,80086652441,26293227.146335617,744405482.7717624,875806255.7264277,87271773.71,476178309.2077202,75363714.53632446,806391540.7361556,15260.942507316699,642418244.0146463,127352196.23153344,940403702.0678996,605541761.4,254544071.66756323,84982607.88262863,827116933.0427449,,31110255.033234064,91477596.5,101631365.27411136,7701223.378,96533858275.20337,9559926974.564817,3.402823669209383e+20,6712115672,82130607.42116825,,9961118.117016017,7895631.3943277495,98270538.34954977,43913494.81065641,84902709.22,230953726.41700888,156562995.06607735,,879038970.3957593,132105645.55903767,620991139.6136302,1.157920892373162e+71,909186362.9068046,9132082072.559673,,941207899.2844355,,216062127.60269788,53301337.67,1270550.822301489,7844.925935662079,2779177498.7028522,85648827289.70303,7188190258,1417944564,,93128434.20214221,926123259.9,30869761.843249716,877708680.4,1109986.3231175963,,16854.042472478388,1982497.357765082,114411424.24438067,457928.46354056033,14336633.400732387,48142416.12954652,64833039.403253265,,33858293940.748455,975656.0828192853,978432631.1570635,268512.18045653985,95618600.16,769696810.5467939,7747753.223128901,22650639.244147263,113689368.37784952,55045824.433830656,432321965.36329997,67071646.01286724,
2023-06-30 00:00:00+00:00,300800000,522700253.5690473,1608632.8494392894,9208850.322062707,9716605147.949963,,464024.48641838087,88821534.56942968,504203392.03816825,10882237.07,35708605.01152164,135718658.84914827,80086652441,26329171.03372611,744423726.1674628,878642911.0686157,87234475.62088063,476178309.2077202,75298189.1,805120210.4045986,15265.547871884402,643326663.4924419,127220166.06799912,940288057.6,604683110.0611963,254486821.2450957,84982565.30988711,827136698.7825228,,31115142.308423895,91499775.06774062,101632820.18041936,7699722.9203672595,96534857377.81113,9562804794.987734,3.402823669209383e+20,6708806507.515863,82937601.80197553,,9961124.740886018,7891133.738611749,98214657.78481525,43883403.80094653,84900126.85328244,230520385.29700893,156562995.06607735,,878829943.9151801,132100981.6034574,620983404.9664229,1.157920892373162e+71,908768980.7191625,9140187303.784298,,941421474.8430842,,213980469.44807702,53341070.93295796,1269769.9544447663,7844.925935662079,2779403662.312852,85648797141.10303,7185484599.654716,1417549488.7436814,,93119284.55194429,926123259.9,30880771.129077148,877708680.4,1107098.7000075965,,16892.337482707997,1980766.198872275,114366948.15856872,458306.5824347157,14335930.02,48121154.26280018,64900644.99050138,,33858293940.748455,975689.3572078054,978436337.3098664,267217.5713875475,95608849.42064056,769732399.1680807,7728629.953795447,22650639.244147263,113689358.24404795,55154084.04357586,432591295.98770005,67225120.57282066,
2023-07-01 00:00:00+00:00,300800000,522698253.5381433,1608632.8494392894,9198317.613661755,9716455687.586327,,464018.60053320637,88797782.94004893,504203392.03816825,10882237.07,35698964.195898816,135770928.9641763,80086652441,26334470.42482928,744443021.7581877,878911246.9105906,87248760.92368452,476178309.2077202,75245746.92805283,805122967.0318682,15291.433238046784,643318419.3836129,127263853.83422914,940272026.1484742,603425534.2289903,254248862.78733662,84979492.33,827136698.7825228,,31109190.560317535,91509902.58960475,101631113.68637517,7701461.804269499,96544157349.78986,9565052945.232258,3.402823669209383e+20,6708293875.188314,83451828.92389083,,9961046.091,7879155.275,98314602.21683183,43865457.44593593,84899536.04854316,231409214.80000895,156562995.06607735,,878829943.9151801,132456893.97994083,620977718.7223676,1.157920892373162e+71,908775234.3192252,9163103044.196733,,941245515.5966359,,211921425.9341083,53338142.09,1270009.5063263595,7844.925935662079,2779403662.312852,85648820509.27246,7185366556.764498,1417773428.4022996,,93119284.55194429,926123259.9,31110163.346605193,877708680.4,1112452.6170075962,,16872.336416598304,1980232.727236168,114334244.45351663,457888.6293573257,14354012.603092767,48403281.01327794,64864238.06411577,,33858293940.748455,976229.8324102154,978436337.3098664,267226.6920488631,95556559.35399508,769716928.6843777,7728092.351128138,22650639.244147263,113587714.85858637,55189954.625315286,432660374.3,67565497.21099332,
2023-07-02 00:00:00+00:00,300000000.00000006,522698253.5381433,1608632.8494392894,9166783.032852845,9716420842.556023,,464018.60053320637,88804007.77004893,504203392.03816825,10882237.07,35691743.22707444,135436138.1205515,80086652441,26337617.19881564,744459519.7572294,878645873.8,87219986.78,476178309.2077202,75271627.48218706,804723597.5434296,15262.360047339587,645313608.0902259,127311497.84340739,940295922.8383573,602752639.1905859,254171558.6643766,84962779.63667254,827220698.7825229,,31225681.328022003,91510061.41039889,101625691.08356458,7701957.239395119,96539247297.78702,9565844518,3.402823669209383e+20,6707411968.828435,83537332.41992249,,9960943.960045109,7876655.275,98248494.54149741,43869959.828213766,84893781.05,231409214.80000895,156562995.06607735,,878818332.1182593,132453455.19241098,620970825.4620022,1.157920892373162e+71,908753224.6331947,9165697099.764017,,941161286.7638685,,212472415.06250116,53338142.09,1271391.1642744583,7845.425935662079,2779403662.312852,85648882614.57433,7183655668.150212,1418241085.712925,,93119284.55194429,926123259.9,30990457.240707263,877708680.4,1112499.1989724464,,16872.336411598084,1979794.8121791745,114334244.45351663,457368.75137007574,14380017.250079887,48386583.381964475,64447743.75369672,,33858293940.748455,977357.1669641753,978442036.8614544,267379.0944005689,95846584.94669196,769712683.0358914,7719692.351128138,22650639.244147263,113576299.05889693,55172057.74827413,432103510.3,66714865.66280989,
