datetime,chainlink_whale_transaction_count_100k_usd_to_inf,uniswap_whale_transaction_count_100k_usd_to_inf,dai_whale_transaction_count_100k_usd_to_inf,aave_whale_transaction_count_100k_usd_to_inf,ondo-finance_whale_transaction_count_100k_usd_to_inf,ethena_whale_transaction_count_100k_usd_to_inf,maker_whale_transaction_count_100k_usd_to_inf,injective-protocol_whale_transaction_count_100k_usd_to_inf,lido-dao_whale_transaction_count_100k_usd_to_inf,raydium_whale_transaction_count_100k_usd_to_inf,dexe_whale_transaction_count_100k_usd_to_inf,pendle_whale_transaction_count_100k_usd_to_inf,telcoin_whale_transaction_count_100k_usd_to_inf,olympus_whale_transaction_count_100k_usd_to_inf,1inch_whale_transaction_count_100k_usd_to_inf,frax_whale_transaction_count_100k_usd_to_inf,convex-finance_whale_transaction_count_100k_usd_to_inf,0x_whale_transaction_count_100k_usd_to_inf,frax-share_whale_transaction_count_100k_usd_to_inf,stargate-finance_whale_transaction_count_100k_usd_to_inf,yearn-finance_whale_transaction_count_100k_usd_to_inf,crvusd_whale_transaction_count_100k_usd_to_inf,sushi_whale_transaction_count_100k_usd_to_inf,cow-protocol_whale_transaction_count_100k_usd_to_inf,loopring_whale_transaction_count_100k_usd_to_inf,lcx_whale_transaction_count_100k_usd_to_inf,band-protocol_whale_transaction_count_100k_usd_to_inf,clearpool_whale_transaction_count_100k_usd_to_inf,usual_whale_transaction_count_100k_usd_to_inf,rocket-pool_whale_transaction_count_100k_usd_to_inf,uma_whale_transaction_count_100k_usd_to_inf,api3_whale_transaction_count_100k_usd_to_inf,compound-ether_whale_transaction_count_100k_usd_to_inf,spell-token_whale_transaction_count_100k_usd_to_inf,orbs_whale_transaction_count_100k_usd_to_inf,tellor_whale_transaction_count_100k_usd_to_inf,marlin_whale_transaction_count_100k_usd_to_inf,liquity_whale_transaction_count_100k_usd_to_inf,pinlink_whale_transaction_count_100k_usd_to_inf,numeraire_whale_transaction_count_100k_usd_to_inf,ssv-network_whale_transaction_count_100k_usd_to_inf,bancor_whale_transaction_count_100k_usd_to_inf,balancer_whale_transaction_count_100k_usd_to_inf,oraichain-token_whale_transaction_count_100k_usd_to_inf,coin98_whale_transaction_count_100k_usd_to_inf,dia-data_whale_transaction_count_100k_usd_to_inf,tokenfi_whale_transaction_count_100k_usd_to_inf,dodo_whale_transaction_count_100k_usd_to_inf,magic-internet-money_whale_transaction_count_100k_usd_to_inf,dydx_whale_transaction_count_100k_usd_to_inf,kujira_whale_transaction_count_100k_usd_to_inf,keep-network_whale_transaction_count_100k_usd_to_inf,smardex_whale_transaction_count_100k_usd_to_inf,messier_whale_transaction_count_100k_usd_to_inf,hashflow_whale_transaction_count_100k_usd_to_inf,renzo_whale_transaction_count_100k_usd_to_inf,liquity-usd_whale_transaction_count_100k_usd_to_inf,ampleforth_whale_transaction_count_100k_usd_to_inf,wrapped-nxm_whale_transaction_count_100k_usd_to_inf,whiteheart_whale_transaction_count_100k_usd_to_inf,hegic_whale_transaction_count_100k_usd_to_inf,insure_whale_transaction_count_100k_usd_to_inf,paraswap_whale_transaction_count_100k_usd_to_inf,orderly-network_whale_transaction_count_100k_usd_to_inf,bella-protocol_whale_transaction_count_100k_usd_to_inf,degate_whale_transaction_count_100k_usd_to_inf,stafi_whale_transaction_count_100k_usd_to_inf,unizen_whale_transaction_count_100k_usd_to_inf,melon_whale_transaction_count_100k_usd_to_inf,chainflip_whale_transaction_count_100k_usd_to_inf,seth_whale_transaction_count_100k_usd_to_inf,alchemix_whale_transaction_count_100k_usd_to_inf,perpetual-protocol_whale_transaction_count_100k_usd_to_inf,harvest-finance_whale_transaction_count_100k_usd_to_inf,badger-dao_whale_transaction_count_100k_usd_to_inf,polkastarter_whale_transaction_count_100k_usd_to_inf,synfutures_whale_transaction_count_100k_usd_to_inf,lever_whale_transaction_count_100k_usd_to_inf,quickswap_whale_transaction_count_100k_usd_to_inf,ramp_whale_transaction_count_100k_usd_to_inf,inverse-finance_whale_transaction_count_100k_usd_to_inf,tokemak_whale_transaction_count_100k_usd_to_inf,ribbon-finance_whale_transaction_count_100k_usd_to_inf,cryptex-finance_whale_transaction_count_100k_usd_to_inf,kryll_whale_transaction_count_100k_usd_to_inf,orion-protocol_whale_transaction_count_100k_usd_to_inf,aura-finance_whale_transaction_count_100k_usd_to_inf,airswap_whale_transaction_count_100k_usd_to_inf,trustswap_whale_transaction_count_100k_usd_to_inf,morpho_whale_transaction_count_100k_usd_to_inf,compound-usd-coin_whale_transaction_count_100k_usd_to_inf,stake-dao_whale_transaction_count_100k_usd_to_inf
2023-06-23 00:00:00+00:00,97,36,0,22,0,0,10,2,16,0,0,1,0,2,3,21,10,0,15,6,3,0,3,0,2,0,0,0,,18,0,3,0,2,0,0,0,4,,3,1,3,0,0,13,0,0,0,3,11,0,1,0,0,0,0,16,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,0,0,,0,0,0,0,0,0,3,0,0,1,0,0,0,8,0
2023-06-24 00:00:00+00:00,62,19,0,7,0,0,7,0,22,0,0,1,0,1,5,21,13,0,5,5,0,0,4,0,13,0,0,0,,5,3,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,3,13,1,0,0,0,0,0,0,37,0,0,0,0,0,0,,0,0,0,0,1,0,2,2,0,8,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-25 00:00:00+00:00,43,99,0,321,0,0,0,0,21,0,0,3,0,3,4,32,4,3,6,7,6,0,3,0,2,0,0,0,,10,2,0,0,0,1,0,0,1,,0,1,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,19,1,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,16,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
2023-06-26 00:00:00+00:00,71,65,0,143,0,0,8,5,17,0,0,1,0,18,7,56,8,1,24,5,1,0,6,0,2,2,0,0,,11,1,1,0,0,0,0,0,1,,0,3,0,6,0,1,2,0,0,0,8,0,12,0,0,0,0,47,5,0,0,0,0,1,,0,0,0,0,0,0,0,0,1,2,0,1,,0,1,0,1,1,0,0,0,0,3,0,0,0,4,0
2023-06-27 00:00:00+00:00,91,46,0,52,0,0,31,1,58,0,0,2,0,7,2,38,9,0,10,1,5,0,0,0,0,0,0,0,,4,0,0,0,1,1,1,0,0,,0,0,1,2,0,0,0,0,2,0,12,0,0,1,0,2,0,31,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,14,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2
2023-06-28 00:00:00+00:00,138,68,0,40,0,0,7,0,26,0,0,3,0,21,5,27,9,5,5,8,5,34,2,0,5,0,0,1,,4,0,2,0,1,0,0,1,4,,3,0,1,1,0,0,2,0,0,3,2,0,0,24,0,1,0,60,2,0,0,0,0,0,,0,0,0,1,0,0,0,0,1,2,0,1,,1,0,0,0,0,1,0,0,0,2,1,1,0,1,0
2023-06-29 00:00:00+00:00,126,29,0,42,0,0,12,2,42,0,0,2,0,3,6,35,30,2,3,9,4,99,2,0,4,0,0,0,,1,0,1,0,0,1,0,0,3,,0,0,1,0,0,3,0,0,0,2,2,0,0,1,0,0,0,41,0,0,0,0,0,0,,2,1,0,0,0,0,0,0,1,0,2,0,,0,0,0,0,0,2,0,0,0,6,0,0,0,7,0
2023-06-30 00:00:00+00:00,149,47,0,117,0,0,39,1,64,0,0,8,0,8,2,46,20,1,17,8,3,59,7,0,3,0,0,0,,10,0,1,0,1,0,0,0,14,,0,1,0,2,0,0,0,0,0,3,12,0,0,0,0,0,0,55,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,0,0,1,0,2,0,0,1,0,0,0,7,0
2023-07-01 00:00:00+00:00,70,26,0,26,0,0,8,0,23,0,0,1,0,5,0,30,4,0,0,5,3,70,2,0,0,0,0,0,,24,1,0,0,0,0,0,0,4,,3,0,0,6,0,0,0,0,0,3,4,0,0,0,0,0,0,41,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1
2023-07-02 00:00:00+00:00,38,21,0,38,0,0,5,1,28,0,0,1,0,0,1,16,2,0,5,0,6,78,3,0,1,0,0,0,,15,1,0,0,1,0,0,0,1,,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
2023-07-03 00:00:00+00:00,74,54,0,92,0,0,38,1,54,0,0,63,0,7,6,41,13,1,23,10,9,82,1,0,2,0,0,0,,6,1,1,0,6,1,0,0,0,,0,4,0,3,0,0,0,0,0,8,40,0,0,0,0,1,0,17,4,0,0,0,0,0,,0,0,0,0,0,0,2,0,1,2,2,0,,0,1,0,0,1,0,0,0,0,1,0,0,0,8,0
