datetime,chainlink_whale_transaction_volume_100k_usd_to_inf,uniswap_whale_transaction_volume_100k_usd_to_inf,dai_whale_transaction_volume_100k_usd_to_inf,aave_whale_transaction_volume_100k_usd_to_inf,ondo-finance_whale_transaction_volume_100k_usd_to_inf,ethena_whale_transaction_volume_100k_usd_to_inf,maker_whale_transaction_volume_100k_usd_to_inf,injective-protocol_whale_transaction_volume_100k_usd_to_inf,lido-dao_whale_transaction_volume_100k_usd_to_inf,raydium_whale_transaction_volume_100k_usd_to_inf,dexe_whale_transaction_volume_100k_usd_to_inf,pendle_whale_transaction_volume_100k_usd_to_inf,telcoin_whale_transaction_volume_100k_usd_to_inf,olympus_whale_transaction_volume_100k_usd_to_inf,1inch_whale_transaction_volume_100k_usd_to_inf,frax_whale_transaction_volume_100k_usd_to_inf,convex-finance_whale_transaction_volume_100k_usd_to_inf,0x_whale_transaction_volume_100k_usd_to_inf,frax-share_whale_transaction_volume_100k_usd_to_inf,stargate-finance_whale_transaction_volume_100k_usd_to_inf,yearn-finance_whale_transaction_volume_100k_usd_to_inf,crvusd_whale_transaction_volume_100k_usd_to_inf,sushi_whale_transaction_volume_100k_usd_to_inf,cow-protocol_whale_transaction_volume_100k_usd_to_inf,lcx_whale_transaction_volume_100k_usd_to_inf,band-protocol_whale_transaction_volume_100k_usd_to_inf,clearpool_whale_transaction_volume_100k_usd_to_inf,usual_whale_transaction_volume_100k_usd_to_inf,rocket-pool_whale_transaction_volume_100k_usd_to_inf,uma_whale_transaction_volume_100k_usd_to_inf,api3_whale_transaction_volume_100k_usd_to_inf,compound-ether_whale_transaction_volume_100k_usd_to_inf,spell-token_whale_transaction_volume_100k_usd_to_inf,orbs_whale_transaction_volume_100k_usd_to_inf,tellor_whale_transaction_volume_100k_usd_to_inf,marlin_whale_transaction_volume_100k_usd_to_inf,liquity_whale_transaction_volume_100k_usd_to_inf,pinlink_whale_transaction_volume_100k_usd_to_inf,numeraire_whale_transaction_volume_100k_usd_to_inf,ssv-network_whale_transaction_volume_100k_usd_to_inf,bancor_whale_transaction_volume_100k_usd_to_inf,balancer_whale_transaction_volume_100k_usd_to_inf,oraichain-token_whale_transaction_volume_100k_usd_to_inf,coin98_whale_transaction_volume_100k_usd_to_inf,dia-data_whale_transaction_volume_100k_usd_to_inf,tokenfi_whale_transaction_volume_100k_usd_to_inf,dodo_whale_transaction_volume_100k_usd_to_inf,magic-internet-money_whale_transaction_volume_100k_usd_to_inf,dydx_whale_transaction_volume_100k_usd_to_inf,kujira_whale_transaction_volume_100k_usd_to_inf,keep-network_whale_transaction_volume_100k_usd_to_inf,smardex_whale_transaction_volume_100k_usd_to_inf,messier_whale_transaction_volume_100k_usd_to_inf,hashflow_whale_transaction_volume_100k_usd_to_inf,renzo_whale_transaction_volume_100k_usd_to_inf,liquity-usd_whale_transaction_volume_100k_usd_to_inf,ampleforth_whale_transaction_volume_100k_usd_to_inf,wrapped-nxm_whale_transaction_volume_100k_usd_to_inf,whiteheart_whale_transaction_volume_100k_usd_to_inf,hegic_whale_transaction_volume_100k_usd_to_inf,insure_whale_transaction_volume_100k_usd_to_inf,compound-usd-coin_whale_transaction_volume_100k_usd_to_inf,paraswap_whale_transaction_volume_100k_usd_to_inf,orderly-network_whale_transaction_volume_100k_usd_to_inf,bella-protocol_whale_transaction_volume_100k_usd_to_inf,degate_whale_transaction_volume_100k_usd_to_inf,stafi_whale_transaction_volume_100k_usd_to_inf,unizen_whale_transaction_volume_100k_usd_to_inf,melon_whale_transaction_volume_100k_usd_to_inf,chainflip_whale_transaction_volume_100k_usd_to_inf,seth_whale_transaction_volume_100k_usd_to_inf,alchemix_whale_transaction_volume_100k_usd_to_inf,perpetual-protocol_whale_transaction_volume_100k_usd_to_inf,harvest-finance_whale_transaction_volume_100k_usd_to_inf,badger-dao_whale_transaction_volume_100k_usd_to_inf,stake-dao_whale_transaction_volume_100k_usd_to_inf,polkastarter_whale_transaction_volume_100k_usd_to_inf,synfutures_whale_transaction_volume_100k_usd_to_inf,lever_whale_transaction_volume_100k_usd_to_inf,quickswap_whale_transaction_volume_100k_usd_to_inf,ramp_whale_transaction_volume_100k_usd_to_inf,inverse-finance_whale_transaction_volume_100k_usd_to_inf,tokemak_whale_transaction_volume_100k_usd_to_inf,ribbon-finance_whale_transaction_volume_100k_usd_to_inf,cryptex-finance_whale_transaction_volume_100k_usd_to_inf,kryll_whale_transaction_volume_100k_usd_to_inf,orion-protocol_whale_transaction_volume_100k_usd_to_inf,aura-finance_whale_transaction_volume_100k_usd_to_inf,airswap_whale_transaction_volume_100k_usd_to_inf,trustswap_whale_transaction_volume_100k_usd_to_inf,morpho_whale_transaction_volume_100k_usd_to_inf,loopring_whale_transaction_volume_100k_usd_to_inf
2023-06-23 00:00:00+00:00,31898310.639319427,20940068.985234126,0,12572219.823053123,0,0,38368181.94207539,951455.8818994637,9941713.538510436,0,0,486710.3983542204,0,214178.02110608085,940151.728,3686992.1522835284,8236729.260981963,0,4539801.989685071,1306009.2718737854,798625.1578142646,0,7340451.857942555,0,0,0,0,,24339834.849936888,0,331800.15059812425,0,592342.6593886872,0,0,0,621995.6983562412,,868935.4150117154,182308.0146830998,1021670.5147439847,0,0,7668092.759354794,0,0,0,496208.62504385045,8153744.7103468105,0,120277.99520109316,0,0,0,0,6565195.964791173,0,0,0,0,0,9070926.221,0,,0,0,0,0,0,0,0,0,0,17708648.311054215,0,0,0,,0,0,0,0,0,0,598613.5677031046,0,0,148340.9409969091,0,0,0,291525.6892902624
2023-06-24 00:00:00+00:00,14909276.87536474,14038323.971974917,0,1431459.356304396,0,0,6553239.343637603,0,5477275.797193874,0,0,128470.70565421131,0,126742.96534213997,991296.4787530706,7915977.327571382,7623942.983418825,0,949132.3844579789,787422.0335142903,0,0,891547.5429369422,0,0,0,0,,930710.2794253955,346818.7396169986,0,0,405410.2405082287,0,0,0,128693.7855579095,,0,0,0,0,0,0,0,0,457655.3125706795,7044417.744,317839.59800574556,0,0,0,0,0,0,16483588.471742613,0,0,0,0,0,0,0,,0,0,0,0,153999.5783402839,0,512788.20866536576,755127.9816859732,0,14013470.752103657,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,7820906.317008557
2023-06-25 00:00:00+00:00,16743787.439513478,33036030.578442104,0,105388431.08754158,0,0,0,0,6547076.386397494,0,0,751508.1305684656,0,756519.9507734636,971348.2653278931,13688281.240332313,6450923.539310897,1022638.0813999572,1399626.8782408005,2255296.1836250005,1289532.1509712634,0,1884194.1232541066,0,0,0,0,,7527691.857206817,347831.7771550013,0,0,0,312005.4991598291,0,0,497362.53756678716,,0,102858.94275317428,0,1387486.4302129922,0,0,0,0,0,0,687786.6481852161,0,0,0,0,0,0,3646530.2252948824,139713.62220925378,0,0,0,0,912770.4634705441,0,,0,0,0,0,0,0,210617.10500084393,0,0,27803969.88805686,0,0,0,,0,0,0,0,0,152883.26048735826,0,0,0,0,0,0,0,377012.8056500927
2023-06-26 00:00:00+00:00,38893570.67573797,32468150.291920435,0,78366428.66876544,0,0,3797048.656214967,1900505.085782017,4754407.171731579,0,0,517489.3452551079,0,3795303.642,4731806.344072577,12113304.641527515,2244066.8599904897,342794.2207149964,30678080.327710003,3475704.4212028775,154019.48423812006,0,10266526.401687304,0,261484.74132098723,0,0,,4549720.668,238534.0732115758,127649.92845904523,0,0,0,0,0,123803.92772748807,,0,461732.2445,0,1099218.2063748585,0,122355.74900560049,508003.21424474625,0,0,0,2143380.7444522846,0,5636478.6830051895,0,0,0,0,10956025.793004625,4277463.566272059,0,0,0,0,20157944.46317406,605174.6004140697,,0,0,0,0,0,0,0,0,109782.5732934598,4534520.297,0,0,266912.88916953036,,0,170008.5873224528,0,107546.84945708948,352469.13433070085,0,0,0,0,2055275.4760156786,0,0,0,304237.0153280658
2023-06-27 00:00:00+00:00,30291739.587590314,48548035.73661891,0,39937486.923718624,0,0,24986774.014653925,149546.01794592134,26431470.146410305,0,0,3564068.434401816,0,2659618.6317138574,216794.93415474205,16555691.649389308,1601304.5348065733,0,3139186.9846643936,136076.76855321883,2252801.6287041493,0,0,0,0,0,0,,537326.2019723391,0,0,0,102135.45363637363,306324.7962588663,210927.6557508368,0,0,,0,0,140404.18287885378,280503.03368405876,0,0,0,0,288527.88146147504,0,4610399.209828683,0,0,143822.1834724944,0,361709.98759695666,0,9101509.46,0,0,0,0,0,287010.0671529183,205962.0240347777,,0,0,0,0,0,0,0,0,0,23004071.841898132,0,397121.63207557803,0,,0,0,0,0,0,0,0,0,738915.8272,0,0,0,0,0
2023-06-28 00:00:00+00:00,258647023.26978976,46837837.51279775,0,25390681.523262925,0,0,2884033.8863367834,0,6257173.191069096,0,0,1627897.2230755193,0,6448681.916990153,8174262.864959137,5903020.011430461,4599405.309213137,3046716.843659003,5720498.115516433,2436467.0202913727,2214960.0269874367,9723102.156,8713000.246080631,0,0,0,190342.76666864482,,1504865.4983452153,0,205052.60662512472,0,2184937.9622030305,0,0,1451784.0797915114,516127.30631418206,,876568.5930140885,0,971306.0400233231,3509739.8380070818,0,0,3370017.765700477,0,0,359902.70390617143,2474691.8759262436,0,0,21821780.141508184,0,9548221.205605228,0,28647290.58079264,1334718.3825815148,0,0,0,0,999536.8707337283,0,,0,0,0,535963.3365687897,0,0,0,0,4739077.969748685,4356740.564753648,0,0,2503797.973899038,,2621889.2911409764,0,0,0,0,147514.42034514836,0,0,0,2387523.036130937,1910028.5921384091,159186.34049141555,0,774342.1861167257
2023-06-29 00:00:00+00:00,67298889.68514515,13392210.303395107,0,10553199.153542932,0,0,4021369.3615405476,400943.2562336413,22947544.77431761,0,0,312269.0143683411,0,679166.5011735971,2658945.067237067,13431652.483088275,9252718.845,710223.3058895048,927914.9982,3382557.455367027,2180922.488963792,32939876.188800927,259065.4849658561,0,0,0,0,,181448.57327187646,0,105824.17440020673,0,0,297106.6942874297,0,0,2244092.631652971,,0,0,283040.49546795094,0,0,518149.4869243392,0,0,0,1037720.2666946836,490354.4608702044,0,0,135160.34097351204,0,0,0,37115751.16219133,0,0,0,0,0,2898090.1558008813,0,,308348.8366795129,225475.29863455854,0,0,0,0,0,0,2448014.112610144,0,200386.09761930825,0,0,,0,0,0,0,0,692785.5959637127,0,0,0,922377.6097,0,0,0,929423.8059347329
2023-06-30 00:00:00+00:00,63402089.01151544,12368738.134345854,0,31523924.554547638,0,0,19978207.056965616,241358.19645523463,19346399.01020426,0,0,2063417.7451861254,0,1291670.2734023998,366050.688,21435311.817225587,4373405.82,586877.1760491345,2735525.327117289,1499119.4468731193,824038.3963,18172391.896018434,995086.5056721164,0,0,0,0,,3336802.1733454233,0,150270.1713,0,178632.7084995019,0,0,0,4292936.929,,0,191990.05017524603,0,346172.31296981545,0,0,0,0,0,782960.2239141931,5027035.160045289,0,0,0,0,0,0,24014367.428758968,0,0,0,0,0,15961976.59003774,0,,0,0,0,0,0,0,0,0,0,8866346.332,0,0,0,,0,0,0,0,639108.8320612299,0,279840.7827,0,0,120745.31376335179,0,0,0,569879.308
2023-07-01 00:00:00+00:00,20412885.784272872,5429922.557379158,0,7679426.421784129,0,0,2811869.7237789244,0,6521527.795226242,0,0,103461.55755215851,0,612779.8546516063,0,6605418.511845098,621125.4457993734,0,0,1018540.3031949431,441671.06559674675,22330916.897564992,243930.08504020935,0,0,0,0,,8062845.057055613,190283.42183001814,0,0,0,0,0,0,2257277.322900815,,886501.9439475309,0,0,1187328.8979058655,0,0,0,0,0,1286114.013517988,415194.2286594567,0,0,0,0,0,0,14957432.975836618,0,0,0,0,0,378928.91435550735,0,,0,0,0,0,0,0,0,0,214510.1918305987,0,0,105935.14447240903,0,,0,0,0,0,1043916.097920922,0,0,0,0,0,241803.8637226856,0,0,0
2023-07-02 00:00:00+00:00,18730973.200134806,23863309.045342986,0,13575287.079439748,0,0,2245306.080221307,108129.73877845363,7059274.062245722,0,0,470641.81931885326,0,0,264630.4981853454,4137583.218376279,206065.45608437888,0,1155793.3966731688,0,910307.4467770736,17890788.293464027,331306.7923433638,0,0,0,0,,15947037.216159662,359731.4275502702,0,0,100685.24539501908,0,0,0,104220.53474539552,,887876.8505300852,577926.2717899363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6993793.4250095915,0,0,0,0,0,258925.59787694295,0,,0,0,0,0,0,0,0,0,0,0,0,0,111061.19457135201,,0,0,0,0,1060038.5029449875,0,0,0,0,0,0,162131.3006191796,0,146159.74402412042
